# z (m), SS (bulk), SS (film), CDNC (bulk) (cm-3), CDNC (film) (cm-3)
102.6000,0.0453,0.0408,76.0883,106.8310
102.8000,0.0452,0.0408,76.0868,106.8288
103.0000,0.0452,0.0407,76.0852,106.8267
103.2000,0.0451,0.0407,76.0837,106.8245
103.4000,0.0451,0.0407,76.0822,106.8223
103.6000,0.0451,0.0406,76.0806,106.8202
103.8000,0.0450,0.0406,76.0791,106.8180
104.0000,0.0450,0.0406,76.0776,106.8159
104.2000,0.0450,0.0405,76.0761,106.8137
104.4000,0.0449,0.0405,76.0745,106.8116
104.6000,0.0449,0.0405,76.0730,106.8094
104.8000,0.0449,0.0404,76.0715,106.8073
105.0000,0.0448,0.0404,76.0699,106.8051
105.2000,0.0448,0.0404,76.0684,106.8030
105.4000,0.0448,0.0404,76.0669,106.8008
105.6000,0.0447,0.0403,76.0653,106.7987
105.8000,0.0447,0.0403,76.0638,106.7965
106.0000,0.0447,0.0403,76.0623,106.7944
106.2000,0.0446,0.0402,76.0607,106.7922
106.4000,0.0446,0.0402,76.0592,106.7901
106.6000,0.0446,0.0402,76.0577,106.7879
106.8000,0.0445,0.0401,76.0561,106.7858
107.0000,0.0445,0.0401,76.0546,106.7836
107.2000,0.0445,0.0401,76.0531,106.7815
107.4000,0.0444,0.0400,76.0515,106.7793
107.6000,0.0444,0.0400,76.0500,106.7772
